"","County","AGEGROUP","AGEGROUPMIN","AGEGROUPMAX","POP"
"198","Asotin County","5",20,24,"1047"
"199","Asotin County","6",25,29,"1252"
"200","Asotin County","7",30,34,"1205"
"201","Asotin County","8",35,39,"1373"
"202","Asotin County","9",40,44,"1226"
"203","Asotin County","10",45,49,"1252"
"204","Asotin County","11",50,54,"1332"
"205","Asotin County","12",55,59,"1649"
"206","Asotin County","13",60,64,"1869"
"207","Asotin County","14",65,69,"1612"
"208","Asotin County","15",70,74,"1352"
"209","Asotin County","16",75,79,"1073"
"210","Asotin County","17",80,84,"701"
"211","Asotin County","18",85,Inf,"672"
"212","Asotin County","19",0,17,"4524"
"213","Asotin County","20",5,13,"2303"
"214","Asotin County","21",14,17,"1061"
"215","Asotin County","22",18,64,"12648"
"216","Asotin County","23",18,24,"1490"
"217","Asotin County","24",25,44,"5056"
"218","Asotin County","25",45,64,"6102"
"219","Asotin County","26",65,Inf,"5410"
"220","Asotin County","27",85,Inf,"672"
"221","Asotin County","28",16,Inf,"18571"
"222","Asotin County","29",18,Inf,"18058"
"223","Asotin County","30",15,44,"7339"
"224","Asotin County","31",NA,NA,"45.8"
"225","Adams County","0",0,Inf,"19983"
"226","Adams County","1",0,4,"1917"
"227","Adams County","2",5,9,"2144"
"228","Adams County","3",10,14,"2053"
"229","Adams County","4",15,19,"1657"
"230","Adams County","5",20,24,"1426"
"231","Adams County","6",25,29,"1265"
"232","Adams County","7",30,34,"1215"
"233","Adams County","8",35,39,"1102"
"234","Adams County","9",40,44,"1077"
"235","Adams County","10",45,49,"992"
"236","Adams County","11",50,54,"964"
"237","Adams County","12",55,59,"961"
"238","Adams County","13",60,64,"946"
"239","Adams County","14",65,69,"796"
"240","Adams County","15",70,74,"575"
"241","Adams County","16",75,79,"397"
"242","Adams County","17",80,84,"247"
"243","Adams County","18",85,Inf,"249"
"244","Adams County","19",0,17,"7169"
"245","Adams County","20",5,13,"3814"
"246","Adams County","21",14,17,"1438"
"247","Adams County","22",18,64,"10550"
"248","Adams County","23",18,24,"2028"
"249","Adams County","24",25,44,"4659"
"250","Adams County","25",45,64,"3863"
"251","Adams County","26",65,Inf,"2264"
"252","Adams County","27",85,Inf,"249"
"253","Adams County","28",16,Inf,"13519"
"254","Adams County","29",18,Inf,"12814"
"255","Adams County","30",15,44,"7742"
"256","Adams County","31",NA,NA,"28"
"257","Garfield County","0",0,Inf,"2225"
"258","Garfield County","1",0,4,"166"
"259","Garfield County","2",5,9,"113"
"260","Garfield County","3",10,14,"118"
"261","Garfield County","4",15,19,"113"
"262","Garfield County","5",20,24,"91"
"263","Garfield County","6",25,29,"89"
"264","Garfield County","7",30,34,"110"
"265","Garfield County","8",35,39,"111"
"266","Garfield County","9",40,44,"150"
"267","Garfield County","10",45,49,"129"
"268","Garfield County","11",50,54,"101"
"269","Garfield County","12",55,59,"167"
"270","Garfield County","13",60,64,"203"
"271","Garfield County","14",65,69,"179"
"272","Garfield County","15",70,74,"154"
"273","Garfield County","16",75,79,"80"
"274","Garfield County","17",80,84,"68"
"275","Garfield County","18",85,Inf,"83"
"276","Garfield County","19",0,17,"467"
"277","Garfield County","20",5,13,"203"
"278","Garfield County","21",14,17,"98"
"279","Garfield County","22",18,64,"1194"
"280","Garfield County","23",18,24,"134"
"281","Garfield County","24",25,44,"460"
"282","Garfield County","25",45,64,"600"
"283","Garfield County","26",65,Inf,"564"
"284","Garfield County","27",85,Inf,"83"
"285","Garfield County","28",16,Inf,"1807"
"286","Garfield County","29",18,Inf,"1758"
"287","Garfield County","30",15,44,"664"
"288","Garfield County","31",NA,NA,"46.8"
"289","Mason County","0",0,Inf,"66768"
"290","Mason County","1",0,4,"3527"
"291","Mason County","2",5,9,"3642"
"292","Mason County","3",10,14,"3677"
"293","Mason County","4",15,19,"3362"
"294","Mason County","5",20,24,"3358"
"295","Mason County","6",25,29,"4285"
"296","Mason County","7",30,34,"3827"
"297","Mason County","8",35,39,"3925"
"298","Mason County","9",40,44,"3518"
"299","Mason County","10",45,49,"3590"
"300","Mason County","11",50,54,"3868"
"301","Mason County","12",55,59,"4984"
"302","Mason County","13",60,64,"5657"
"303","Mason County","14",65,69,"5388"
