date,tests1,tests2,tests3,tests4,tests,pos1,pos2,pos3,pos4,daily.pos,cases,sym_pos1,sym_pos2,sym_pos3,sym_pos4,sym_cases,hosps1,hosps2,hosps3,hosps4,Hospitalizations,hosp_deaths1,hosp_deaths2,hosp_deaths3,hosp_deaths4,hosp_deaths,deaths1,deaths2,deaths3,deaths4,deaths,Tot_hosp
2020-08-25,33,130,30,16,209,30,93,28,15,166,21167,23,70,18,11,15047,0,2,1,2,5,0,1,0,1,461,0,1,0,2,730,2213
2020-08-26,32,102,35,4,173,30,73,31,3,137,21304,17,52,24,1,15141,0,1,3,0,4,0,0,1,2,464,0,0,1,3,734,2217
2020-08-27,23,107,35,6,171,21,66,30,4,121,21425,14,44,22,4,15225,0,2,3,0,5,0,0,0,0,464,0,0,0,0,734,2222
2020-08-28,26,89,33,6,154,25,52,29,5,111,21536,17,39,19,4,15304,0,1,0,1,2,0,0,0,0,0,0,0,0,0,734,2224
2020-08-29,22,66,21,1,110,22,46,16,1,85,21621,11,29,9,0,15353,0,1,1,0,2,0,0,0,0,0,0,0,0,0,734,2226
2020-08-30,10,35,6,3,54,9,13,5,2,29,21650,6,9,4,1,15373,0,1,2,0,3,0,0,0,0,464,0,0,0,1,735,2229
2020-08-31,27,99,24,9,159,25,77,23,8,133,21783,11,39,14,6,15443,1,2,1,5,9,0,0,0,1,465,0,0,0,3,738,2238
2020-09-01,23,154,26,12,215,21,75,21,10,127,21910,15,60,13,6,15537,0,3,4,0,7,0,0,0,0,465,0,0,0,0,738,2245
2020-09-02,34,394,61,11,500,24,74,17,5,120,22030,17,54,12,5,15625,1,7,1,4,13,0,0,1,1,467,0,0,1,1,740,2258
2020-09-03,24,100,33,5,162,22,72,29,4,127,22157,11,53,20,3,15712,0,2,1,2,5,0,0,0,1,468,0,0,0,2,742,2263
2020-09-04,22,89,16,7,134,19,51,13,7,90,22247,14,36,10,5,15777,0,2,4,0,6,0,0,0,0,468,0,0,0,0,742,2269
2020-09-05,12,65,31,4,112,10,46,30,4,90,22337,7,29,24,2,15839,0,1,4,3,8,0,0,1,2,471,0,0,2,2,746,2277
2020-09-06,6,37,8,5,56,6,21,7,5,39,22376,3,14,4,5,15865,2,2,1,1,6,0,0,0,0,471,0,0,0,1,747,2283
2020-09-07,12,56,10,5,83,12,43,10,5,70,22446,9,30,8,4,15916,0,1,0,1,2,0,0,0,1,472,0,0,0,1,748,2285
2020-09-08,25,78,22,3,128,24,70,22,3,119,22565,15,53,17,2,16003,0,1,0,1,2,0,0,0,0,472,0,0,0,0,748,2287
2020-09-09,39,108,16,6,169,39,76,14,6,135,22700,21,43,5,3,16075,0,1,3,2,6,0,0,0,0,0,0,0,0,0,748,2293
2020-09-10,30,128,32,9,199,25,58,28,7,118,22818,13,41,16,6,16151,0,0,2,2,4,0,0,0,0,0,0,0,0,0,748,2297
2020-09-11,25,178,31,7,241,16,45,23,2,86,22904,7,32,19,2,16211,0,1,1,2,4,0,0,1,1,474,0,0,1,1,750,2301
2020-09-12,17,57,14,3,91,16,32,14,2,64,22968,13,24,11,2,16261,0,1,1,1,3,0,0,0,0,474,0,0,0,0,750,2304
2020-09-13,5,30,9,2,46,5,18,9,1,33,23001,4,15,7,0,16287,0,0,0,0,3,0,0,0,1,475,0,0,0,1,751,2307
2020-09-14,27,261,49,10,347,20,74,24,5,123,23124,11,55,21,3,16377,0,2,2,1,5,0,0,0,0,475,0,0,0,0,751,2312
2020-09-15,15,79,35,16,145,14,53,20,8,95,23219,12,38,11,6,16444,0,0,2,0,2,0,1,0,0,476,0,1,0,2,754,2314
2020-09-16,30,121,48,18,217,15,60,17,3,95,23314,9,49,12,2,16516,0,2,3,1,6,0,0,1,1,478,0,0,1,1,756,2320
2020-09-17,17,114,34,7,172,17,64,30,5,116,23430,11,50,21,4,16602,0,1,2,1,4,0,0,0,0,478,0,0,0,0,756,2324
2020-09-18,28,117,36,5,186,18,58,23,3,102,23532,11,50,21,2,16686,1,0,1,1,3,0,0,0,0,478,0,0,0,1,757,2327
2020-09-19,12,78,18,2,110,11,54,14,1,80,23612,6,42,13,1,16748,0,1,3,1,5,0,0,0,0,478,0,0,0,0,757,2332
2020-09-20,3,19,6,4,32,3,11,6,3,23,23635,2,8,6,3,16767,0,2,1,2,5,0,0,2,0,480,0,1,2,0,760,2337
2020-09-21,11,138,36,5,190,11,81,31,5,128,23763,9,61,23,3,16863,0,6,2,1,9,0,0,1,0,481,0,0,1,0,761,2346
2020-09-22,38,391,58,15,502,22,74,14,6,116,23879,13,62,11,6,16955,0,3,2,3,8,0,0,0,0,481,0,0,0,0,761,2354
2020-09-23,22,188,20,7,237,21,76,17,4,118,23997,18,62,14,4,17053,0,1,2,0,3,0,0,0,0,0,0,0,0,0,761,2357
2020-09-24,31,230,50,9,320,23,83,35,7,148,24145,15,56,30,6,17160,1,1,6,5,13,0,0,0,0,481,0,0,0,1,762,2370
2020-09-25,36,347,78,10,471,18,85,28,5,136,24281,13,62,24,4,17263,0,1,1,6,8,0,0,0,0,481,0,0,0,0,762,2378
2020-09-26,21,80,23,6,130,21,62,22,5,110,24391,15,47,14,4,17343,0,0,1,0,1,0,0,0,1,482,0,0,0,1,763,2379
2020-09-27,10,45,11,2,68,10,25,11,1,47,24438,10,22,8,1,17384,1,0,3,1,5,0,0,0,0,482,0,0,0,0,763,2384
2020-09-28,72,154,52,17,295,68,113,44,9,234,24672,43,88,33,7,17555,0,1,1,1,3,1,0,0,0,483,1,0,0,0,764,2387
2020-09-29,46,138,52,9,245,45,100,45,6,196,24868,35,71,35,2,17698,1,0,4,2,7,0,0,0,1,484,0,0,0,1,765,2394
2020-09-30,61,366,85,39,551,41,84,34,10,169,25037,30,60,25,5,17818,1,4,0,2,7,0,0,0,0,484,0,0,0,1,766,2401
2020-10-01,31,166,31,13,241,31,101,30,12,174,25211,16,70,21,9,17934,0,1,4,7,12,0,0,2,0,486,0,0,3,2,771,2413
2020-10-02,50,187,51,10,298,44,94,33,6,177,25388,30,80,24,4,18072,0,1,1,0,2,0,0,0,0,486,0,0,0,1,772,2415
2020-10-03,29,104,31,10,174,29,75,31,10,145,25533,22,55,24,9,18182,0,1,1,3,5,0,0,0,1,487,0,0,0,1,773,2420
2020-10-04,18,42,16,23,99,18,27,15,23,83,25616,10,21,11,3,18227,0,2,3,1,6,0,0,0,0,487,0,0,0,0,773,2426
2020-10-05,58,346,54,7,465,48,142,37,5,232,25848,33,105,32,3,18400,0,1,3,4,8,0,0,0,3,490,0,0,0,4,777,2434
2020-10-06,51,453,73,19,596,41,101,33,9,184,26032,26,79,25,8,18538,0,2,6,3,11,0,0,0,3,493,0,1,0,3,781,2445
2020-10-07,67,1149,129,38,1383,35,120,32,14,201,26233,29,87,27,11,18692,1,2,4,3,10,0,0,0,3,496,0,0,0,3,784,2455
2020-10-08,38,150,52,11,251,29,93,42,6,170,26403,22,77,34,5,18830,0,2,2,2,6,0,0,1,1,498,0,0,1,1,786,2461
2020-10-09,77,817,102,34,1030,48,112,30,14,204,26607,23,86,19,8,18966,0,1,3,0,4,0,0,0,0,498,0,0,0,0,786,2465
2020-10-10,20,110,26,7,163,16,82,23,5,126,26733,15,66,21,4,19072,0,4,2,6,12,0,0,0,1,499,0,0,0,1,787,2477
2020-10-11,11,65,7,6,89,10,34,6,5,55,26788,5,23,5,5,19110,0,2,1,1,4,0,0,0,0,499,0,0,0,0,787,2481
2020-10-12,89,811,146,37,1083,35,126,45,8,214,27002,18,92,31,5,19256,1,4,1,0,6,0,0,0,2,501,0,0,0,2,789,2487
2020-10-13,29,143,29,5,206,29,116,24,3,172,27174,22,90,23,3,19394,0,1,1,2,4,0,0,0,1,502,0,0,0,1,790,2491
2020-10-14,36,690,86,20,832,28,152,40,9,229,27403,21,112,31,6,19564,1,3,4,5,13,0,0,0,0,502,0,0,0,0,790,2504
2020-10-15,71,460,67,11,609,61,131,36,5,233,27636,50,105,31,4,19754,0,1,4,1,6,0,0,0,0,0,0,0,0,0,790,2510
2020-10-16,50,132,56,7,245,49,92,55,7,203,27839,30,70,45,3,19902,0,4,5,3,12,0,0,0,0,0,0,0,0,0,790,2522
2020-10-17,31,105,29,7,172,28,79,28,4,139,27978,21,65,22,2,20012,0,1,3,3,7,0,0,1,0,503,0,0,1,0,791,2529
2020-10-18,19,61,15,4,99,18,36,12,3,69,28047,13,30,9,2,20066,1,2,2,4,9,0,0,2,0,505,0,0,2,0,793,2538
2020-10-19,46,182,54,21,303,42,151,51,20,264,28311,33,129,39,13,20280,1,1,5,5,12,0,0,1,1,507,0,0,1,1,795,2550
2020-10-20,75,914,137,33,1159,44,176,58,15,293,28604,25,131,44,10,20490,1,1,1,9,12,0,0,0,1,508,0,0,0,1,796,2562
2020-10-21,40,186,32,12,270,39,137,29,11,216,28820,23,105,22,9,20649,0,0,1,3,4,0,0,0,1,509,0,0,0,3,799,2566
2020-10-22,44,547,107,29,727,37,147,52,9,245,29065,25,117,37,7,20835,0,4,2,3,9,0,0,1,0,510,0,0,1,0,800,2575
2020-10-23,43,339,89,24,495,32,137,59,16,244,29309,21,94,48,12,21010,0,2,5,5,12,0,0,0,1,511,0,0,0,2,802,2587
2020-10-24,35,154,42,11,242,34,131,42,11,218,29527,25,97,33,8,21173,0,2,0,4,6,0,0,1,2,514,0,0,1,2,805,2593
2020-10-25,12,56,13,2,83,11,37,13,2,63,29590,8,29,9,2,21221,0,0,0,2,2,0,0,0,1,515,0,0,0,1,806,2595
2020-10-26,61,256,67,12,396,61,233,67,11,372,29962,44,172,52,9,21498,0,2,3,5,10,0,0,0,0,515,0,0,0,0,806,2605
2020-10-27,66,675,129,31,901,45,195,62,24,326,30288,29,138,44,16,21725,0,4,5,4,13,0,0,0,3,518,0,0,0,3,809,2618
2020-10-28,69,274,69,13,425,67,230,68,13,378,30666,43,160,55,12,21995,0,4,5,3,12,0,0,1,0,519,0,0,2,0,811,2630
2020-10-29,88,296,54,18,456,86,247,51,15,399,31065,43,177,37,10,22262,2,6,4,4,16,0,0,0,0,519,0,0,0,0,811,2646
2020-10-30,58,259,72,9,398,56,228,72,8,364,31429,36,158,55,6,22517,0,4,4,0,8,0,0,0,2,521,0,0,0,2,813,2654
2020-10-31,54,207,56,5,322,50,167,52,4,273,31702,34,132,42,2,22727,0,3,2,2,7,0,0,1,0,522,0,0,2,0,815,2661
2020-11-01,16,79,28,6,129,13,50,27,5,95,31797,10,42,19,5,22803,0,1,5,5,11,0,0,0,0,522,0,0,0,0,815,2672
2020-11-02,89,482,129,26,726,84,327,113,24,548,32345,46,243,90,16,23198,0,2,5,4,11,0,0,1,1,524,0,0,1,1,817,2683
2020-11-03,88,409,110,11,618,85,309,106,10,510,32855,53,230,71,9,23561,0,6,4,3,13,0,0,1,0,525,0,0,1,0,818,2696
2020-11-04,144,612,150,25,931,97,385,117,18,617,33472,59,273,90,16,23999,0,4,4,7,15,0,0,0,0,525,0,0,0,1,819,2711
2020-11-05,97,622,154,36,909,91,349,114,28,582,34054,60,230,83,19,24391,0,1,5,7,13,0,0,0,0,525,0,0,1,0,820,2724
2020-11-06,128,663,138,38,967,120,377,103,33,633,34687,69,250,70,25,24805,0,6,11,6,23,0,0,0,1,526,0,0,0,1,821,2747
2020-11-07,102,349,99,21,571,102,327,98,21,548,35235,62,243,73,17,25200,1,5,12,8,26,0,0,0,1,527,0,0,0,1,822,2773
2020-11-08,24,103,35,12,174,23,94,34,12,163,35398,16,57,24,9,25306,2,7,6,6,21,0,0,0,1,528,0,0,0,1,823,2794
2020-11-09,144,656,172,43,1015,138,496,158,42,834,36232,64,333,101,27,25831,0,9,11,9,29,0,0,2,1,531,0,0,2,1,826,2823
2020-11-10,118,721,144,46,1029,113,455,124,45,737,36969,57,251,67,20,26226,0,7,9,4,20,0,0,0,4,535,0,0,0,5,831,2843
2020-11-11,107,612,154,34,907,105,446,138,33,722,37691,50,223,72,23,26594,1,4,9,8,22,0,0,0,1,536,0,0,0,1,832,2865
2020-11-12,170,859,185,43,1257,160,489,147,40,836,38527,71,222,75,22,26984,1,9,5,2,17,0,0,0,1,537,0,0,0,1,833,2882
2020-11-13,126,588,171,40,925,124,501,163,40,828,39355,51,235,83,27,27380,0,7,10,19,36,0,0,0,1,538,0,0,0,1,834,2918
2020-11-14,142,482,159,49,832,134,434,157,44,769,40124,58,229,89,28,27784,0,13,9,7,29,0,0,0,2,540,0,0,0,2,836,2947
2020-11-15,55,182,51,21,309,53,136,45,21,255,40379,25,73,29,13,27924,0,7,8,9,24,0,0,0,1,541,0,0,0,2,838,2971
2020-11-16,148,725,209,57,1139,141,670,209,57,1077,41456,69,387,130,38,28548,2,7,11,10,30,0,0,0,3,544,0,0,0,4,842,3001
2020-11-17,148,660,168,62,1038,144,608,168,62,982,42438,60,307,96,35,29046,1,3,7,16,27,0,0,0,2,546,0,0,0,2,844,3028
2020-11-18,150,587,180,46,963,149,523,177,43,892,43330,48,229,87,31,29441,0,13,10,14,37,0,0,0,0,546,0,0,0,1,845,3065
2020-11-19,170,620,175,36,1001,167,564,173,36,940,44270,58,230,72,19,29820,0,9,13,6,28,0,0,0,4,550,0,0,0,4,849,3093
2020-11-20,175,609,223,69,1076,172,567,216,67,1022,45292,65,240,102,25,30252,2,10,13,9,34,0,0,0,1,551,0,0,1,1,851,3127
2020-11-21,129,481,148,29,787,127,437,145,29,738,46030,38,218,71,14,30593,1,11,6,5,23,0,0,0,4,555,0,0,0,7,858,3150
2020-11-22,45,253,90,22,410,39,189,86,21,335,46365,14,76,45,10,30738,0,4,13,9,26,0,0,0,3,558,0,0,1,6,865,3176
2020-11-23,156,724,230,44,1154,153,642,227,43,1065,47430,59,330,106,21,31254,1,4,18,14,37,0,0,0,1,559,0,0,0,2,867,3213
2020-11-24,153,597,179,49,978,150,566,176,49,941,48371,61,303,92,32,31742,1,2,9,9,21,0,0,2,1,562,0,0,2,1,870,3234
2020-11-25,137,554,190,76,957,135,509,188,76,908,49279,56,263,101,44,32206,0,3,11,15,29,0,0,1,1,564,0,0,1,3,874,3263
2020-11-26,25,115,35,18,193,25,92,33,18,168,49447,9,39,16,14,32284,1,8,8,10,27,0,0,1,0,565,0,0,3,3,880,3290
2020-11-27,137,541,200,61,939,137,509,200,61,907,50354,62,256,113,30,32745,1,7,13,13,34,0,0,0,1,566,0,0,0,1,881,3324
2020-11-28,140,493,153,39,825,140,449,152,39,780,51134,48,254,98,23,33168,0,5,11,9,25,0,0,0,4,570,0,0,0,5,886,3349
2020-11-29,33,177,52,18,280,33,154,52,18,257,51391,17,78,27,11,33301,1,9,12,6,28,0,0,1,0,571,0,0,1,2,889,3377
2020-11-30,206,791,278,110,1385,205,730,278,110,1323,52714,77,362,134,53,33927,0,7,10,8,25,0,0,1,5,577,0,0,2,8,899,3402
2020-12-01,130,596,189,61,976,130,557,189,61,937,53651,44,247,94,39,34351,0,10,8,12,30,0,0,4,1,582,0,0,4,2,905,3432
2020-12-02,125,500,178,48,851,125,461,177,48,811,54462,44,223,88,23,34729,0,8,9,16,33,0,0,3,4,589,0,0,4,7,916,3465
2020-12-03,185,562,203,56,1006,184,500,203,56,943,55405,67,221,94,27,35138,1,7,11,11,30,0,0,0,7,596,0,0,0,10,926,3495
2020-12-04,167,499,182,80,928,166,452,180,80,878,56283,65,194,100,33,35530,0,4,20,10,34,0,1,1,6,604,0,1,2,8,937,3529
2020-12-05,104,382,132,43,661,102,343,132,43,620,56903,41,162,69,20,35822,1,6,8,11,26,0,0,0,2,606,0,0,1,5,943,3555
2020-12-06,49,194,47,14,304,49,127,47,14,237,57140,22,63,21,11,35939,0,2,7,12,21,0,1,0,1,608,0,1,0,2,946,3576
2020-12-07,182,771,225,68,1246,181,681,225,68,1155,58295,85,377,110,35,36546,0,3,19,11,33,0,0,1,4,613,0,0,1,10,957,3609
2020-12-08,113,497,168,99,877,113,452,167,98,830,59125,52,225,84,40,36947,1,6,6,10,23,0,1,1,2,617,0,1,3,3,964,3632
2020-12-09,126,500,141,48,815,126,443,141,48,758,59883,67,250,82,34,37380,2,3,20,16,41,0,0,0,5,622,0,0,0,7,971,3673
2020-12-10,109,551,143,49,852,109,382,143,49,683,60566,60,222,73,31,37766,3,4,11,10,28,0,0,2,5,629,0,0,2,9,982,3701
2020-12-11,129,516,186,51,882,128,410,186,50,774,61340,60,249,112,32,38219,5,9,12,9,35,0,0,4,2,635,0,0,5,5,992,3736
2020-12-12,103,363,117,33,616,103,310,117,32,562,61902,52,194,73,24,38562,0,6,8,8,22,0,0,1,3,639,0,0,1,5,998,3758
2020-12-13,29,155,48,27,259,29,107,48,27,211,62113,12,57,26,14,38671,0,4,12,17,33,0,0,0,5,644,0,1,0,10,1009,3791
2020-12-14,145,577,171,59,952,145,509,171,59,884,62997,78,318,94,36,39197,1,13,8,13,35,0,0,1,4,649,0,0,1,5,1015,3826
2020-12-15,109,476,161,64,810,109,414,159,64,746,63743,50,242,88,32,39609,1,8,11,13,33,0,0,0,2,651,0,0,2,6,1023,3859
2020-12-16,107,473,136,64,780,107,391,136,64,698,64441,46,207,86,34,39982,0,4,7,11,22,0,0,1,5,657,0,0,1,11,1035,3881
2020-12-17,101,454,158,53,766,100,378,157,53,688,65129,53,201,97,29,40362,0,6,12,8,26,0,0,1,5,663,0,0,1,6,1042,3907
2020-12-18,88,400,145,45,678,88,352,145,45,630,65759,45,180,76,25,40688,1,7,7,7,22,0,0,2,1,666,0,0,3,3,1048,3929
2020-12-19,65,299,120,21,505,65,258,120,21,464,66223,29,153,76,10,40956,0,7,11,6,24,0,0,3,3,672,0,0,3,9,1060,3953
2020-12-20,33,195,42,22,292,33,118,42,22,215,66438,14,61,22,14,41067,0,4,11,8,23,0,0,2,2,676,0,0,2,4,1066,3976
2020-12-21,126,488,191,71,876,126,404,191,71,792,67230,62,211,116,34,41490,0,10,9,9,28,0,0,2,5,683,0,0,2,10,1078,4004
2020-12-22,109,406,147,66,728,108,363,147,66,684,67914,54,199,87,29,41859,2,7,10,11,30,0,0,1,6,690,0,0,1,12,1091,4034
2020-12-23,101,380,125,52,658,101,324,125,51,601,68515,54,188,84,30,42215,1,6,5,10,22,0,0,1,2,693,0,0,2,4,1097,4056
2020-12-24,53,257,106,24,440,53,202,105,24,384,68899,31,108,61,16,42431,2,9,7,9,27,0,0,2,8,703,0,0,2,12,1111,4083
2020-12-25,15,74,26,9,124,15,50,26,9,100,68999,6,19,11,6,42473,2,6,9,14,31,0,0,0,0,703,0,0,1,4,1116,4114
2020-12-26,104,406,160,30,700,104,349,159,30,642,69641,52,225,101,21,42872,0,6,9,4,19,0,0,0,1,704,0,0,0,2,1118,4133
2020-12-27,32,176,48,21,277,32,131,48,21,232,69873,10,71,29,17,42999,2,1,6,10,19,0,0,0,4,708,0,0,0,9,1127,4152
2020-12-28,155,621,191,53,1020,152,560,191,53,956,70829,78,297,106,35,43515,1,3,9,7,20,0,0,1,2,711,0,1,1,4,1133,4172
2020-12-29,142,606,158,52,958,141,435,158,52,786,71615,63,235,79,30,43922,1,6,7,9,23,0,0,4,6,721,0,1,7,6,1147,4195
2020-12-30,139,1335,169,59,1702,137,408,167,59,771,72386,56,203,88,28,44297,0,4,12,16,32,0,0,1,3,725,0,0,2,7,1156,4227
2020-12-31,119,476,158,58,811,119,400,158,58,735,73121,42,185,85,25,44634,0,5,8,12,25,0,1,0,5,731,0,1,0,10,1167,4252
2021-01-01,28,175,31,14,248,27,112,31,14,184,73305,11,61,21,9,44736,0,7,13,8,28,0,0,1,3,735,0,0,1,3,1171,4280
2021-01-02,129,507,180,37,853,129,466,180,37,812,74117,57,271,115,18,45197,0,6,10,5,21,0,0,0,4,739,0,0,0,6,1177,4301
2021-01-03,48,207,37,21,313,48,151,37,20,256,74373,15,66,22,13,45313,0,4,12,8,24,0,0,2,1,742,0,0,2,5,1184,4325
2021-01-04,159,738,205,60,1162,159,678,205,60,1102,75475,77,415,118,31,45954,0,7,13,9,29,0,0,0,3,745,0,0,0,5,1189,4354
2021-01-05,146,575,170,60,951,146,485,170,60,861,76336,62,278,92,35,46421,1,9,7,9,26,0,0,2,5,752,0,0,2,8,1199,4380
2021-01-06,125,543,158,55,881,125,462,158,55,800,77136,61,271,98,31,46882,1,3,11,12,27,0,0,0,3,755,0,1,0,5,1205,4407
2021-01-07,136,483,123,48,790,136,408,122,48,714,77850,60,250,69,33,47294,0,4,4,7,15,0,0,1,4,760,0,0,2,7,1214,4422
2021-01-08,111,433,111,32,687,109,368,111,32,620,78470,67,217,69,18,47665,1,7,15,16,39,0,0,2,2,764,0,0,3,4,1221,4461
2021-01-09,91,341,83,19,534,91,304,82,19,496,78966,48,187,55,11,47966,1,4,6,5,16,0,0,1,3,768,0,0,1,5,1227,4477
2021-01-10,33,145,39,10,227,33,96,39,10,178,79144,10,57,22,10,48065,0,4,7,10,21,0,0,1,2,771,0,0,1,4,1232,4498
2021-01-11,108,483,132,72,795,108,430,132,72,742,79886,49,256,81,34,48485,2,6,5,15,28,0,0,2,4,777,0,0,2,10,1244,4526
2021-01-12,90,369,107,41,607,90,329,107,41,567,80453,47,188,66,23,48809,1,5,5,11,22,0,0,0,1,778,1,0,1,4,1250,4548
2021-01-13,85,342,119,34,580,85,272,119,34,510,80963,43,164,63,20,49099,1,1,8,4,14,0,0,0,4,782,0,0,0,5,1255,4562
2021-01-14,83,337,98,30,548,83,231,98,30,442,81405,39,138,59,19,49354,0,3,5,10,18,0,0,2,2,786,0,0,2,2,1259,4580
2021-01-15,85,290,129,35,539,84,235,129,35,483,81888,56,158,86,16,49670,0,5,7,6,18,0,0,0,4,790,0,0,0,7,1266,4598
2021-01-16,71,286,62,11,430,71,221,62,11,365,82253,32,134,34,4,49874,2,4,2,2,10,0,0,1,5,796,0,0,2,6,1274,4608
2021-01-17,24,126,33,18,201,24,83,33,18,158,82411,10,48,15,14,49961,0,1,5,15,21,0,0,1,3,800,0,0,1,4,1279,4629
2021-01-18,70,315,105,41,531,70,258,105,41,474,82885,29,158,61,24,50233,1,1,5,6,13,0,2,0,1,803,0,3,2,1,1285,4642
2021-01-19,102,307,87,22,518,101,254,86,22,463,83348,47,165,54,16,50515,0,2,8,7,17,0,0,1,4,808,0,0,2,5,1292,4659
2021-01-20,82,311,77,28,498,79,238,77,28,422,83770,53,148,53,22,50791,0,1,9,9,19,0,0,0,1,809,0,0,0,3,1295,4678
2021-01-21,61,297,84,17,459,61,259,84,17,421,84191,29,170,60,11,51061,0,5,11,7,23,0,0,1,2,812,0,0,1,6,1302,4701
2021-01-22,75,269,79,26,449,75,205,79,25,384,84575,42,123,52,14,51292,0,6,8,5,19,0,0,1,3,816,0,0,3,5,1310,4720
2021-01-23,57,220,68,21,366,57,153,68,21,299,84874,41,111,44,12,51500,2,2,4,4,12,0,0,0,3,819,0,0,0,4,1314,4732
2021-01-24,11,76,17,3,107,11,48,17,3,79,84953,2,26,6,2,51536,0,7,3,4,14,0,0,1,5,825,0,0,1,5,1320,4746
2021-01-25,61,269,90,44,464,61,217,90,44,412,85365,37,147,62,21,51803,1,9,5,3,18,0,0,0,2,827,0,0,1,2,1323,4764
2021-01-26,70,251,84,22,427,69,167,84,22,342,85707,44,105,56,14,52022,0,1,7,2,10,0,0,0,3,830,0,0,0,3,1326,4774
2021-01-27,60,245,74,32,411,60,182,73,32,347,86054,33,121,45,24,52245,0,5,3,6,14,0,0,0,3,833,0,0,0,4,1330,4788
2021-01-28,46,261,66,35,408,46,170,63,35,314,86368,29,106,32,19,52431,0,2,3,11,16,0,0,0,2,835,0,0,0,3,1333,4804
2021-01-29,72,177,77,24,350,72,141,76,24,313,86681,33,94,54,14,52626,0,7,4,4,15,0,1,1,1,838,0,1,1,2,1337,4819
2021-01-30,64,200,56,21,341,63,150,56,20,289,86970,38,98,43,13,52818,1,9,2,6,18,0,0,1,4,843,0,0,1,4,1342,4837
2021-01-31,22,116,15,5,158,22,56,15,5,98,87068,11,29,6,5,52869,0,2,3,4,9,0,0,0,1,844,0,0,1,3,1346,4846
2021-02-01,60,237,92,31,420,59,193,92,30,374,87442,39,119,65,19,53111,0,5,4,5,14,0,0,0,1,845,0,0,0,4,1350,4860
2021-02-02,65,252,66,14,397,62,163,65,14,304,87746,32,105,49,11,53308,0,1,5,2,8,0,0,1,2,848,0,0,3,3,1356,4868
2021-02-03,68,229,58,18,373,66,170,57,18,311,88057,41,102,45,10,53506,0,2,6,7,15,0,0,0,2,850,0,0,0,2,1358,4883
2021-02-04,64,199,51,9,323,61,129,51,8,249,88306,40,87,43,6,53682,1,3,3,7,14,0,1,0,4,855,0,1,0,4,1363,4897
2021-02-05,58,160,46,18,282,58,129,46,18,251,88557,29,80,35,15,53841,1,4,7,1,13,0,0,1,4,860,0,0,1,5,1369,4910
2021-02-06,53,185,44,11,293,51,103,42,10,206,88763,29,64,30,8,53972,0,1,5,6,12,0,0,2,0,862,0,0,2,0,1371,4922
2021-02-07,12,75,15,9,111,12,27,14,9,62,88825,4,19,11,6,54012,0,3,2,5,10,0,0,0,3,865,0,0,0,3,1374,4932
2021-02-08,57,212,64,24,357,55,157,63,23,298,89123,30,110,45,17,54214,0,4,2,7,13,0,0,0,1,866,0,0,1,2,1377,4945
2021-02-09,51,178,53,15,297,50,138,52,15,255,89378,31,86,36,10,54377,1,2,2,8,13,0,0,2,1,869,0,0,2,2,1381,4958
2021-02-10,33,184,49,24,290,32,100,49,24,205,89583,21,59,31,16,54504,0,2,3,4,9,0,0,2,1,872,0,0,4,2,1387,4967
2021-02-11,54,168,48,12,282,54,110,48,12,224,89807,27,75,35,7,54648,0,0,2,4,6,0,0,1,1,874,0,0,1,2,1390,4973
2021-02-12,42,153,48,18,261,39,96,47,17,199,90006,27,61,29,13,54778,0,0,4,4,8,0,0,0,2,876,0,0,0,5,1395,4981
2021-02-13,7,67,7,2,83,6,20,7,2,35,90041,4,13,5,1,54801,0,3,5,1,9,0,0,0,0,876,0,0,1,1,1397,4990
2021-02-14,2,36,9,0,47,2,14,9,0,25,90066,1,9,5,0,54816,0,3,2,0,5,0,0,0,0,876,0,0,0,1,1398,4995
2021-02-15,18,118,26,10,172,18,64,26,10,118,90184,10,44,16,7,54893,0,2,3,3,8,0,0,0,2,878,0,0,0,3,1401,5003
2021-02-16,41,239,58,9,347,39,173,58,9,279,90463,20,123,42,7,55085,0,1,2,4,7,0,0,1,4,883,0,0,1,6,1408,5010
2021-02-17,38,164,33,6,241,36,107,33,6,182,90645,20,73,20,3,55201,0,2,3,2,7,0,0,0,5,888,0,0,0,5,1413,5017
2021-02-18,33,285,41,11,370,33,100,39,10,182,90827,25,73,32,8,55339,1,1,1,5,8,0,0,0,1,889,0,0,0,1,1414,5025
2021-02-19,16,118,32,3,169,15,80,31,3,129,90956,9,51,22,1,55422,0,4,5,1,10,0,0,2,4,895,0,0,2,5,1421,5035
2021-02-20,21,145,34,3,203,21,75,34,3,133,91089,10,61,28,2,55523,0,4,6,2,12,0,0,0,3,898,0,0,0,5,1426,5047
2021-02-21,16,105,11,5,137,14,30,11,5,60,91149,8,20,6,3,55560,1,4,3,4,12,0,0,1,2,901,0,0,1,3,1430,5059
2021-02-22,38,177,36,11,262,38,114,35,11,198,91347,20,79,26,11,55696,0,1,3,3,7,0,0,1,2,904,0,1,2,2,1435,5066
2021-02-23,30,258,31,3,322,29,120,30,2,181,91528,19,82,21,2,55820,0,2,1,0,3,0,0,0,0,904,0,1,0,0,1436,5069
2021-02-24,30,259,34,10,333,28,86,31,10,155,91683,18,61,20,8,55927,0,1,2,4,7,0,0,1,2,907,0,0,1,2,1439,5076
2021-02-25,35,185,37,12,269,35,105,36,12,188,91871,29,72,25,10,56063,0,2,1,0,3,0,0,0,1,908,0,1,0,2,1442,5079
