time,S_i1,S_i2,S_i3,S_i4,E_i1,E_i2,E_i3,E_i4,A_i1,A_i2,A_i3,A_i4,P_i1,P_i2,P_i3,P_i4,I_i1,I_i2,I_i3,I_i4,D_i1,D_i2,D_i3,D_i4,H_i1,H_i2,H_i3,H_i4,R_i1,R_i2,R_i3,R_i4,F_i1,F_i2,F_i3,F_i4,cum_exp_i1,cum_exp_i2,cum_exp_i3,cum_exp_i4,cum_asym_i1,cum_asym_i2,cum_asym_i3,cum_asym_i4,cum_sym_i1,cum_sym_i2,cum_sym_i3,cum_sym_i4,cum_diag_i1,cum_diag_i2,cum_diag_i3,cum_diag_i4,cum_hosp_i1,cum_hosp_i2,cum_hosp_i3,cum_hosp_i4
41,477136.589193842,947167.032148162,488975.543901203,167501.940687885,10673.5297944771,21189.4962816782,10938.4931809386,3746.53360397241,2385.9654939722,4737.88315606278,2446.07140971332,837.814990067668,3326.99078066613,6605.61359049565,3410.1353845631,1168.01000216794,4173.04365821598,8282.49784336515,4269.17252284536,1459.01209833883,106.534850239623,211.460273318786,108.844954347974,37.1141044959663,2.18433214935092,98.9997387304623,206.536164203993,123.481715672943,4362.16189643793,8592.06067182436,4279.60103274208,1385.41088404003,0,2.95629636253343,15.6014494426931,35.6819133594055,25030.4108061583,49718.9678518379,25672.4560987971,8793.05931211519,4307.06430350437,8559.44147104792,4420.78887535756,1513.95771244284,6722.82592751073,13366.4165086162,6905.03865793787,2364.55799353201,170.239811134884,486.543660231898,503.078357057695,282.473448258135,3.42259994664516,158.353073393634,340.09142921342,229.595272238142
42,470340.007367628,933675.903481744,482011.489497575,165116.688944357,13498.4618262966,26796.187722049,13832.4749196002,4737.74868330518,3037.59244469972,6031.2394515971,3113.66776765532,1066.47034059368,4227.06654076338,8392.0456420198,4332.23467129649,1483.83426396064,5330.65173309393,10578.4727266447,5452.22706009123,1863.29704454005,136.559047628283,270.973115654752,139.458115109159,47.5520437952476,2.80008857677648,126.863658535714,264.61603311374,158.168761328145,5593.86095131355,11012.5164358793,5483.80136026796,1775.41652862341,0,3.79776587556342,20.0305752907451,45.823389496921,31826.9926323722,63210.096518256,32636.5105024249,11178.3110556433,5498.55924182269,10924.7726388621,5641.8106748474,1932.16871170143,8602.90502348957,17099.0905153251,8831.99023668077,3024.55939667603,218.476608317045,624.039339488751,645.057684639621,362.24092305142,4.39260750437692,203.111111883564,436.086562250998,294.441802081688
43,461844.056716759,916812.061952141,473306.547691007,162135.148507778,16984.3744722511,33714.6927970669,17403.577676199,5960.90037206867,3854.42963851173,7652.47812028131,3950.50416529911,1353.09307544476,5349.98612773945,10620.7408256516,5482.61386098044,1877.84915892036,6792.98727452649,13478.7382086521,6946.62024609402,2373.96762481335,174.779531844815,346.727378325256,178.42419517328,60.8376080550787,3.58403167103693,162.332929751239,338.536579434986,202.291175591044,7162.80220669596,14095.3525045497,7017.47449037241,2272.10867981489,0,4.87528358135495,25.7010954396602,58.8037975138988,40322.9432832406,80073.9380478595,41341.4523089929,14159.8514922221,7001.57064329684,13908.3735752378,7181.96238983817,2459.68533604602,10987.0120399532,21832.1308499032,11275.2983819753,3861.41662518701,280.019981533071,799.440451085158,826.166494511411,463.990671785917,5.63032151992659,260.213623192289,558.549253583286,377.166329591013
44,451310.163134844,895903.531160262,462513.843403767,158438.489752703,21234.5143573192,42149.9424605091,21757.5983363865,7452.239216228,4870.67069109298,9669.46269243528,4991.61120151694,1709.68337747464,6738.47962787804,13376.5066192058,6905.05120836039,2365.05237564315,8630.2679153244,17122.5275544911,8824.07604397965,3015.52866058598,223.272224311858,442.836066937109,227.858075308298,77.6916424211123,4.57881719299141,207.33426051316,432.304242713245,258.219539123423,9155.05323203629,18009.6064049595,8964.70854170544,2902.7063839677,0,6.25278068730979,32.9489462626863,75.3890518529607,50856.8368651557,100982.468839738,52134.1565962331,17856.510247297,8886.69675235097,17650.3579137688,9113.56747795399,3121.28130932069,13997.1461276076,27807.6618462547,14359.9395735323,4917.93734610512,358.327196892666,1022.5939262007,1056.56850029874,593.432032818372,7.20537160612349,332.870857389149,714.361705775142,482.417169379905
45,438381.694839489,870242.465551518,449267.966456686,153901.521392827,26337.9807687497,52278.8105617351,26985.8642622061,9243.06720721602,6123.04661726117,12155.0952424381,6274.62209401941,2149.13410519874,8436.09761395466,16745.7835975527,8644.17107011947,2960.73339425884,10922.9134345657,21669.2991635487,11166.7305615708,3816.0399198084,284.540749524853,564.25939186666,290.310027045436,98.9832974792236,5.83592695590652,264.191689773651,550.747501323121,328.800601190961,11674.8900494985,22960.0847214557,11427.3946158491,3700.18645474741,0,8.01008011237489,42.1934111808534,96.5336272732548,63785.3051605105,126643.534448483,65380.0335433143,22393.4786071728,11234.1973175282,22310.0171660244,11518.8507843324,3945.12341998705,17777.0294602779,35310.9231231708,18233.1474266562,6244.55458571093,457.624728105341,1305.53734035672,1348.68813686823,757.544057638957,9.20292714294807,425.009452029793,911.941647585591,615.879559511569
46,422712.606213558,839141.981773902,433214.296837077,148402.7299697,32348.9655627938,64208.9208382287,33143.9751384536,11352.4585861827,7648.19107661773,15182.0890583183,7837.07549662025,2684.30751092799,10482.3881609246,20807.0761827332,10740.5060582603,3678.78298325458,13759.4266166503,27294.5315691061,14064.961110555,4806.37256396829,361.546125658921,716.863450530852,368.795702208098,125.740175362852,7.41630865934752,335.65444274868,699.571502126656,417.381574835908,14846.4599351377,29190.636693497,14526.8649055203,4703.8105336034,0,10.2459909352638,53.9532491788118,123.41610216466,79454.3937864424,157744.018226098,81433.7031629231,27892.2700303003,14131.6284670946,28061.1292163608,14487.5184073408,4961.9434332353,22491.4115956294,44668.8919887754,23063.7035588683,7899.08502762779,583.003298577806,1662.76950309093,1717.48955920475,964.732056893094,11.7256497845189,541.362414602823,1161.43503081121,784.405658051275
47,404011.69253405,802023.970582056,414054.32094929,141839.796911459,39258.4776177248,77922.5372547554,40222.8441989213,13777.342105882,9478.27026373962,18814.2976593055,9711.94098590414,3326.50324503392,12905.4533234677,25616.1829722114,13222.8750251563,4529.08331378024,17231.7334984641,34180.4793585032,17612.6172728416,6018.57708456745,457.701384175791,907.409351796537,466.79025927359,159.146211468963,9.39031066044316,424.892393813207,885.343612963814,527.789416167661,18814.281067717,36985.1489259086,18404.4044314584,5959.28673345445,0,13.0815016511226,68.8632641909585,157.474978186484,98155.3074659495,194862.029417945,100593.67905071,34455.2030885412,17669.0489544674,35082.4476489569,18111.8504555366,6203.35829479775,28322.3275702896,56242.8615420213,29038.1093710958,9945.41937408118,740.479162828067,2111.42484524267,2180.6561861548,1224.92817666429,14.8949867547624,687.528696193438,1474.8434240051,996.100345491471
48,382102.674903019,758538.330062334,391607.169746798,134150.674339774,46960.6197888776,93209.6373562456,48114.152317019,16480.6671045398,11634.5765469424,23094.0026287789,11921.0585496936,4083.2117632089,15711.6835527454,31185.8259302352,16097.8695601417,5513.90737433473,21427.0470856698,42500.0338623788,21898.6974380022,7483.03572635541,576.807392897477,1143.42575197007,588.162412297808,200.51902469734,11.836428997802,535.437164660001,1115.3636789212,664.236523381312,23741.7543008501,46664.6444922215,23219.8367043765,7518.30762071234,0,16.6627511768302,87.689592749921,200.440522996221,120064.32509698,238347.669937667,123040.830253202,42144.3256602261,21931.1115924309,43542.0097744264,22478.6033808549,7699.09756670588,35460.9101629267,70412.1968767597,36352.2049951863,12450.6536146456,936.990671139085,2671.26341946224,2758.57970887963,1549.58479960289,18.8511886713059,869.97393828713,1866.02513773645,1260.32162007109
49,356994.525653617,708702.536206128,365881.663090648,125338.26510479,55219.7785909107,109602.784748266,56576.7233210263,19379.8806009232,14119.2471296114,28025.4795075802,14466.6563623349,4955.20910441518,18873.3781148166,37461.0821420847,19337.1726287317,6623.57500156297,26415.5860711874,52392.3629651646,26994.7880643553,9224.16610945282,722.902299006521,1432.91013246097,737.020267553968,251.25713546888,14.838303223973,671.043288302863,1397.36545057267,831.120436436647,29806.7438376261,58578.6377327992,29147.2697756076,9437.17033271224,0,21.1632772146627,111.341039169212,254.35617423808,145172.474346383,288183.463793873,148766.336909352,50956.73489521,26985.8087266416,53574.8037136822,27657.4840764976,9473.05628828604,44093.5089140138,87546.7931898403,45196.956883096,15480.2230044378,1180.29146341669,3364.36640337875,3474.04485467071,1951.49685179513,23.7512795290653,1095.93677699725,2350.49368697724,1587.54395024481
50,328949.086974496,653035.867309505,337145.609920707,115494.172096738,63649.7874709875,126335.745587781,65215.1442039477,22339.592191597,16905.9851069352,33556.5817418217,17321.8442519511,5933.30000644232,22316.231729522,44294.5460117813,22864.7356183762,7832.0589113256,32234.1444323802,63930.3221140047,32938.2626826117,11254.675361178,899.996545000204,1783.80324339369,917.440366687789,312.747306153549,18.4793753015458,835.44297838342,1738.99417896177,1032.68526736589,37193.2883653769,73088.9061725277,36367.0960486984,11774.1882596397,0,26.7848408028572,140.872728058516,321.580599560339,173217.913025504,343850.132690496,177502.390079293,60800.8279032623,32870.4376663548,65254.9161308146,33686.7737626037,11538.3707134996,54381.4561586393,107966.924960119,55737.7364943656,19090.8060868402,1478.69694531257,4214.41323325926,4351.4815377822,2444.38076329798,29.7640997135905,1373.20016681002,2944.92665322093,1989.02583122531
