"","DATE","AGEGR","DEATHS","CASES","HOSPITALIZATIONS","NEGATIVE_TESTS","HOSPITAL_DEATHS","NON_HOSPITAL_DEATHS","NON_HOSPITAL_PREDEATH_DIAGNOSIS","PRE_SYMPTOMATIC_DIAGNOSIS","SYMPTOMS_POST_DIAGNOSIS","MILD_SYMPTOMATIC_DIAGNOSIS","MILD_SYMPTOMS_PRE_DIAGNOSIS","SEVERE_SYMPTOMATIC_DIAGNOSIS","SEVERE_SYMPTOMS_PRE_DIAGNOSIS","SEVERE_SYMPTOMS_PRE_DIAGNOSIS_EARLY","SEVERE_SYMPTOMS_PRE_DIAGNOSIS_LATE","SEVERE_SYMPTOMATIC_DIAGNOSIS_EARLY","SEVERE_SYMPTOMATIC_DIAGNOSIS_LATE","PRE_DEATH_HOSPITALIZATION","NO_DEATH_HOSPITALIZATION","CASES_NO_DEATH_NO_HOSPITALIZATION"
"23",2020-01-06,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",2020-01-06,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",2020-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",2020-01-07,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"27",2020-01-07,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",2020-01-07,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",2020-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",2020-01-08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",2020-01-08,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",2020-01-08,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",2020-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",2020-01-09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",2020-01-09,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",2020-01-09,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",2020-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",2020-01-10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",2020-01-10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",2020-01-10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",2020-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",2020-01-11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",2020-01-11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",2020-01-11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",2020-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",2020-01-12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",2020-01-12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",2020-01-12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",2020-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",2020-01-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",2020-01-13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",2020-01-13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",2020-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",2020-01-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",2020-01-14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",2020-01-14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",2020-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",2020-01-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",2020-01-15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",2020-01-15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",2020-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",2020-01-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",2020-01-16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",2020-01-16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",2020-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",2020-01-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",2020-01-17,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",2020-01-17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",2020-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",2020-01-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",2020-01-18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",2020-01-18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",2020-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",2020-01-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",2020-01-19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",2020-01-19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",2020-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",2020-01-20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",2020-01-20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",2020-01-20,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"81",2020-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",2020-01-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",2020-01-21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",2020-01-21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",2020-01-22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",2020-01-22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",2020-01-22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",2020-01-23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",2020-01-23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",2020-01-23,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"93",2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",2020-01-24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95",2020-01-24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",2020-01-24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",2020-01-25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",2020-01-25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",2020-01-25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101",2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",2020-01-26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",2020-01-26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",2020-01-26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",2020-01-27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",2020-01-27,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",2020-01-27,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",2020-01-27,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"109",2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110",2020-01-28,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111",2020-01-28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112",2020-01-28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114",2020-01-29,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115",2020-01-29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116",2020-01-29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117",2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118",2020-01-30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119",2020-01-30,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120",2020-01-30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121",2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122",2020-01-31,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123",2020-01-31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",2020-01-31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",2020-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",2020-02-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128",2020-02-01,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"129",2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130",2020-02-02,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"131",2020-02-02,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132",2020-02-02,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133",2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134",2020-02-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135",2020-02-03,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"136",2020-02-03,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137",2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138",2020-02-04,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139",2020-02-04,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140",2020-02-04,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141",2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142",2020-02-05,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143",2020-02-05,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144",2020-02-05,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145",2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146",2020-02-06,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"147",2020-02-06,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148",2020-02-06,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149",2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150",2020-02-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151",2020-02-07,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152",2020-02-07,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153",2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154",2020-02-08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155",2020-02-08,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"156",2020-02-08,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"157",2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158",2020-02-09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159",2020-02-09,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160",2020-02-09,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161",2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162",2020-02-10,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"163",2020-02-10,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164",2020-02-10,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"165",2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166",2020-02-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167",2020-02-11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168",2020-02-11,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0
"169",2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170",2020-02-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171",2020-02-12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172",2020-02-12,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"173",2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174",2020-02-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175",2020-02-13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"176",2020-02-13,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"177",2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178",2020-02-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179",2020-02-14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180",2020-02-14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181",2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182",2020-02-15,1,0,0,1,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,1,0
"183",2020-02-15,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"184",2020-02-15,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"185",2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186",2020-02-16,1,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0
"187",2020-02-16,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"188",2020-02-16,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"189",2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190",2020-02-17,1,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
"191",2020-02-17,2,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0
"192",2020-02-17,3,0,0,1,0,0,0,0,0,3,0,1,0,2,1,1,0,0,0,1,0
"193",2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194",2020-02-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"195",2020-02-18,2,0,0,1,0,0,0,0,0,4,0,1,0,3,0,1,0,0,0,1,0
"196",2020-02-18,3,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
"197",2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198",2020-02-19,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
"199",2020-02-19,2,0,0,2,1,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0
"200",2020-02-19,3,0,0,1,0,0,0,0,0,4,0,0,0,4,0,1,0,0,1,0,0
"201",2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202",2020-02-20,1,0,0,1,1,0,0,0,0,2,0,1,0,1,0,1,0,0,0,1,0
"203",2020-02-20,2,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0
"204",2020-02-20,3,0,0,2,0,0,0,0,0,2,0,1,0,1,0,2,0,0,2,0,0
"205",2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"206",2020-02-21,1,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
"207",2020-02-21,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"208",2020-02-21,3,0,1,4,0,0,0,0,1,5,0,2,1,3,0,0,1,0,1,3,0
"209",2020-02-22,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"210",2020-02-22,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
"211",2020-02-22,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"212",2020-02-22,3,0,1,4,0,0,0,0,1,1,0,1,1,0,0,3,0,1,2,2,0
"213",2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"214",2020-02-23,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0
"215",2020-02-23,2,0,0,1,0,0,0,0,0,7,0,1,0,6,1,1,0,0,1,0,0
"216",2020-02-23,3,0,1,1,0,0,0,0,1,2,1,1,0,1,0,1,0,0,0,1,1
"217",2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"218",2020-02-24,1,0,1,1,0,0,0,0,1,3,0,2,1,1,0,0,0,1,0,1,0
"219",2020-02-24,2,0,0,3,0,0,0,0,0,5,0,1,0,4,0,2,0,0,1,2,0
"220",2020-02-24,3,0,0,1,0,0,0,0,0,5,0,1,0,4,1,1,0,0,1,0,0
"221",2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"222",2020-02-25,1,0,1,0,0,0,0,0,1,10,1,10,0,0,0,0,0,0,0,0,1
"223",2020-02-25,2,0,0,1,0,0,0,0,0,8,0,3,0,5,3,0,0,0,0,1,0
"224",2020-02-25,3,0,0,0,0,0,0,0,0,6,0,1,0,5,0,0,0,0,0,0,0
"225",2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"226",2020-02-26,1,0,1,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,1
"227",2020-02-26,2,1,1,0,0,1,0,0,1,3,0,2,1,1,0,0,0,1,0,0,0
"228",2020-02-26,3,1,0,1,1,0,1,0,0,9,0,1,0,8,1,2,0,0,1,0,0
"229",2020-02-27,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"230",2020-02-27,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1
"231",2020-02-27,2,0,2,3,0,0,0,0,2,4,1,4,1,0,0,2,0,1,0,3,1
"232",2020-02-27,3,0,0,6,1,0,0,0,0,2,0,1,0,1,0,5,0,0,5,1,0
"233",2020-02-28,0,0,1,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,1
"234",2020-02-28,1,0,1,0,0,0,0,0,1,11,0,10,1,1,1,0,0,1,0,0,0
"235",2020-02-28,2,1,1,3,1,1,0,0,1,5,0,4,1,1,1,2,0,1,0,3,0
"236",2020-02-28,3,1,6,4,0,0,1,0,5,8,0,2,6,7,1,5,0,6,3,1,0
"237",2020-02-29,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"238",2020-02-29,1,0,3,1,5,0,0,0,3,4,2,3,1,1,1,1,0,1,0,1,2
"239",2020-02-29,2,0,5,0,3,0,0,0,5,8,0,5,5,3,2,0,1,4,0,0,0
"240",2020-02-29,3,1,7,3,1,1,0,1,7,5,1,1,6,4,0,2,0,6,2,1,1
"241",2020-03-01,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"242",2020-03-01,1,0,5,1,13,0,0,0,5,10,4,10,1,0,0,1,0,1,0,1,4
"243",2020-03-01,2,0,7,3,9,0,0,0,7,12,2,7,5,5,0,2,2,3,1,2,2
"244",2020-03-01,3,3,0,0,3,3,0,0,0,11,0,3,0,8,1,0,0,0,0,0,0
"245",2020-03-02,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"246",2020-03-02,1,0,7,2,24,0,0,0,7,12,4,10,3,2,2,2,1,2,0,2,4
"247",2020-03-02,2,0,3,3,19,0,0,0,3,11,0,6,3,5,2,3,0,3,1,2,0
"248",2020-03-02,3,2,8,8,11,1,0,0,7,12,0,3,8,10,1,7,0,8,4,3,0
"249",2020-03-03,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"250",2020-03-03,1,0,4,0,46,0,0,0,4,9,4,7,0,2,0,0,0,0,0,0,4
"251",2020-03-03,2,0,6,4,20,0,0,0,6,13,3,9,3,4,0,3,1,2,1,3,3
